name,url,domain
Ohio State University ,http://www.osu.edu/,osu.edu
University of Puerto Rico ,http://www.upr.edu/,upr.edu
North Carolina A&T State University,http://www.ncat.edu/,ncat.edu
"Ohio State University, Extension",http://extension.osu.edu/,osu.edu
North Carolina State University,http://www.ncsu.edu/,ncsu.edu
South Dakota State University ,http://www.sdstate.edu/,sdstate.edu
"University of Minnesota, College of Food, Agricultural and Natural Resource Science",https://cfans.umn.edu/,umn.edu
Aaniiih Nakoda College,http://www.ancollege.edu/,ancollege.edu
University of New Hampshire,http://www.unh.edu/,unh.edu
White Earth Tribal and Community College,http://www.wetcc.edu/,wetcc.edu
Fort Peck Community College,http://www.fpcc.edu/,fpcc.edu
"University of New Hampshire, Cooperative Extension",http://extension.unh.edu/,unh.edu
Alcorn State University ,http://www.alcorn.edu/,alcorn.edu
Little Big Horn College,http://www.lbhc.edu/,lbhc.edu
"University of Nebraska, College of Agricultural Sciences and Natural Resources",http://casnr.unl.edu/,unl.edu
Leech Lake Tribal College ,http://www.lltc.edu/,lltc.edu
"University of Missouri, College of Agriculture, Food and Natural Resources",http://cafnr.missouri.edu/,missouri.edu
"University of Nevada, Reno",http://www.unr.edu/,unr.edu
University of Minnesota,http://www1.umn.edu/twincities/index.php,umn.edu
Blackfeet Community College,http://www.bfcc.org/,bfcc.org
"University of Nevada, Cooperative Extension",http://www.unce.unr.edu/,unr.edu
"University of Minnesota, Extension",http://www.extension.umn.edu/,umn.edu
Chief Dull Knife Community College,http://www.cdkc.edu/,cdkc.edu
"University of Nevada, Reno, College of Agriculture, Biotechnology & Resources",http://www.unr.edu/cabnr,unr.edu
"Mississippi State University, Extension Service",https://extension.msstate.edu/,msstate.edu
Salish Kootenai College,http://www.skc.edu/,skc.edu
Institute of American Indian Arts,http://www.iaia.edu/,iaia.edu
"Mississippi State University, College of Agriculture & Life Sciences",http://www.cals.msstate.edu/,msstate.edu
Stone Child College,http://www.stonechild.edu/,stonechild.edu
New Mexico State University,http://www.nmsu.edu/,nmsu.edu
Lincoln University,http://www.lincolnu.edu/,lincolnu.edu
"Little Priest Tribal College,",http://littlepriest.edu/,littlepriest.edu
"New Mexico State University, Extension",http://extension.nmsu.edu/,nmsu.edu
"Michigan State University, College of Agriculture & Natural Resources",http://www.canr.msu.edu/,msu.edu
Community College of Micronesia ,http://www.comfsm.fm/,comfsm.fm
University of Missouri,http://www.umsystem.edu/,umsystem.edu
"University of Nebraska, Extension",https://extension.unl.edu/,unl.edu
Fond Du Lac Tribal & Community College,http://www.fdltcc.edu/,fdltcc.edu
"University of Missouri, Extension",http://extension.missouri.edu/,missouri.edu
"University of Nebraska, College of Agricultural Sciences and Natural Resources",http://casnr.unl.edu/,unl.edu
Leech Lake Tribal College ,http://www.lltc.edu/,lltc.edu
"University of Missouri, College of Agriculture, Food and Natural Resources",http://cafnr.missouri.edu/,missouri.edu
"University of Nevada, Reno",http://www.unr.edu/,unr.edu
University of Minnesota,http://www1.umn.edu/twincities/index.php,umn.edu
Blackfeet Community College,http://www.bfcc.org/,bfcc.org
"University of Nevada, Cooperative Extension",http://www.unce.unr.edu/,unr.edu
"University of Minnesota, Extension",http://www.extension.umn.edu/,umn.edu
Chief Dull Knife Community College,http://www.cdkc.edu/,cdkc.edu
"University of Nevada, Reno, College of Agriculture, Biotechnology & Resources",http://www.unr.edu/cabnr,unr.edu
"University of Minnesota, College of Food, Agricultural and Natural Resource Science",https://cfans.umn.edu/,umn.edu
Aaniiih Nakoda College,http://www.ancollege.edu/,ancollege.edu
University of New Hampshire,http://www.unh.edu/,unh.edu
White Earth Tribal and Community College,http://www.wetcc.edu/,wetcc.edu
Fort Peck Community College,http://www.fpcc.edu/,fpcc.edu
"University of Nevada, Reno, College of Agriculture, Biotechnology & Resources",http://www.unr.edu/cabnr,unr.edu
